Date,Open,High,Low,Close,Adj Close,Volume
2015-10-29,131.614761,132.046127,130.358261,140.550003,131.792923,3710400
2015-10-30,131.689789,132.524338,131.183411,140.080002,131.352219,3984000
2015-11-02,131.746063,131.764801,130.873993,140.369995,131.624130,3822200
2015-11-03,131.295959,133.902740,131.183411,141.880005,133.040070,4349400
2015-11-04,133.668320,133.762085,132.496201,141.630005,132.805634,3516900
2015-11-05,132.786896,133.508911,130.930237,139.889999,131.174057,5096900
2015-11-06,131.183517,132.082657,130.492569,138.250000,130.852234,4744900
2015-11-09,130.539902,130.691345,127.662567,135.309998,128.069550,8075600
2015-11-10,128.116898,128.476547,126.943253,135.470001,128.221008,4520800
2015-11-11,128.807816,128.911926,127.302910,135.020004,127.795082,3164800
2015-11-12,127.492210,127.492210,125.892624,133.039993,125.921013,4701400
2015-11-13,125.835854,125.883179,124.605400,131.750000,124.700066,4613800
2015-11-16,124.737915,126.914841,124.737915,133.710007,126.555183,4190800
2015-11-17,127.037872,127.605797,126.176582,133.820007,126.659294,2815100
2015-11-18,127.577393,128.637451,127.075760,135.820007,128.552277,4149200
2015-11-19,128.921417,130.369537,128.732101,136.740005,129.423035,4753600
2015-11-20,130.019318,131.486389,129.905777,138.500000,131.088852,5176400
2015-11-23,131.117264,131.439056,129.782715,138.460007,131.051010,5137900
2015-11-24,130.284332,131.883926,129.962555,138.600006,131.183517,3407700
2015-11-25,130.965820,131.022614,130.028793,138.000000,130.615631,3238200
2015-11-27,130.615631,131.382278,129.867889,138.460007,131.051010,1415800
2015-11-30,131.192963,132.413925,131.107819,139.419998,131.959641,4545600
2015-12-01,132.111099,133.833664,132.111099,141.279999,133.720108,4195100
2015-12-02,133.388824,133.653854,132.035355,139.699997,132.224655,3725400
2015-12-03,132.603256,133.199524,130.795486,138.919998,131.486389,5909600
2015-12-04,130.700821,133.474030,130.606171,140.429993,132.915588,4571600
2015-12-07,132.660034,132.896667,131.382278,139.550003,132.082657,3279400
2015-12-08,130.880630,131.618881,130.170776,138.050003,130.662933,3905200
2015-12-09,130.028793,132.357178,128.940323,136.610001,129.300003,4615000
2015-12-10,129.697510,130.473648,128.457611,136.779999,129.460892,4754800
2015-12-11,127.993835,128.192627,126.744484,134.570007,127.369156,5333800
2015-12-14,128.069550,128.855148,126.848595,135.929993,128.656372,5143800
2015-12-15,130.047714,131.533722,129.934158,137.789993,130.416870,4238500
2015-12-16,131.675674,132.177322,130.416870,139.289993,131.836594,4345500
2015-12-17,131.893372,132.035355,129.016037,136.750000,129.432510,4089500
2015-12-18,129.110703,129.631271,127.085205,134.899994,127.681503,10026100
2015-12-21,128.561737,128.561737,126.848595,135.500000,128.249405,5617500
2015-12-22,128.609055,130.795486,128.391373,137.929993,130.549377,4263800
2015-12-23,130.899582,131.855499,130.719757,138.539993,131.126724,5164900
2015-12-24,131.022614,131.448532,130.719757,138.250000,130.852234,1495200
2015-12-28,130.369537,130.653473,129.233734,137.610001,130.246490,3143400
2015-12-29,130.852234,132.565384,130.804901,139.779999,132.300385,3943700
2015-12-30,132.111099,132.925064,131.770340,139.339996,131.883926,2989400
2015-12-31,131.628357,131.656769,130.208633,137.619995,130.255936,3443300
2016-01-04,128.344070,128.694244,127.056824,135.949997,128.675323,5229400
2016-01-05,129.441956,129.565018,127.634193,135.850006,128.580673,3924800
2016-01-06,127.189331,128.325134,126.469986,135.169998,127.937050,4310900
2016-01-07,126.545715,127.795082,125.343658,132.860001,125.750679,7025800
2016-01-08,126.053520,126.659294,124.293091,131.630005,124.586487,4762700
2016-01-11,124.756844,126.659294,124.709518,133.229996,126.100838,4974400
2016-01-12,126.498383,126.621429,124.113235,132.899994,125.788513,5078700
